id,gid,x,y,v_x,v_y,radius,time
38,1,8.996608,4.641743,-0.308212,-0.452249,0.200000,0.400000
39,1,6.768359,8.703826,0.385429,-0.276603,0.200000,0.400000
0,0,9.582480,0.319701,-1.254549,-0.771153,0.200000,0.500000
1,0,12.142857,0.615278,-1.167024,-0.255109,0.200000,0.500000
2,0,7.122006,0.057420,-1.013165,0.280294,0.200000,0.500000
3,0,6.488395,-1.123611,-1.356781,-0.904717,0.200000,0.500000
4,0,8.694935,0.854896,-0.151850,0.412662,0.200000,0.500000
5,0,5.056312,0.039780,0.193504,-1.346066,0.200000,0.500000
6,0,13.146568,-1.053751,-0.818241,0.328255,0.200000,0.500000
7,0,10.537800,-0.345602,-1.829655,-0.167748,0.200000,0.500000
8,0,12.663497,-0.411382,-1.333968,0.170258,0.200000,0.500000
9,0,7.775231,-0.203884,-0.838581,0.471001,0.200000,0.500000
10,0,6.503442,0.609280,-0.706933,1.113795,0.200000,0.500000
11,0,14.553783,-0.550798,-0.831688,0.358135,0.200000,0.500000
12,0,13.110325,0.538234,-1.543995,0.015770,0.200000,0.500000
13,0,8.217135,0.253522,-1.115296,0.152193,0.200000,0.500000
14,0,6.523375,-0.296296,-0.663193,-0.188065,0.200000,0.500000
15,0,13.285761,1.275704,-0.277353,0.724747,0.200000,0.500000
16,0,5.849122,-0.024253,-1.217627,0.043688,0.200000,0.500000
17,0,6.553805,1.184182,-0.227727,0.019317,0.200000,0.500000
18,0,8.973665,-0.383709,-0.750931,0.144200,0.200000,0.500000
19,0,7.025486,-1.468028,-0.932542,-1.678154,0.200000,0.500000
20,1,7.167988,7.489842,-0.340404,-1.323622,0.200000,0.500000
21,1,8.245974,-4.501774,-0.580527,-0.685753,0.200000,0.500000
22,1,6.928537,2.199070,-0.134281,-0.194222,0.200000,0.500000
23,1,9.092532,-3.625343,0.137269,-0.802427,0.200000,0.500000
24,1,5.270066,4.995072,0.035935,-1.488822,0.200000,0.500000
25,1,8.508745,-2.414121,0.364384,-0.762901,0.200000,0.500000
26,1,7.020693,6.097005,0.657410,-1.773146,0.200000,0.500000
27,1,4.865031,0.966768,-1.540717,-0.954928,0.200000,0.500000
28,1,4.306659,2.608517,-1.732094,-0.922672,0.200000,0.500000
29,1,4.524169,0.092075,-1.238180,-1.093922,0.200000,0.500000
30,1,7.580710,3.115302,-0.250661,-0.638834,0.200000,0.500000
31,1,7.146493,-5.109559,-0.570400,-1.758742,0.200000,0.500000
32,1,5.424290,2.065741,-0.504908,-0.803472,0.200000,0.500000
33,1,7.874663,4.849886,-0.569924,-0.840737,0.200000,0.500000
34,1,4.886667,6.155114,0.005822,-1.205996,0.200000,0.500000
35,1,9.227153,3.413622,-0.405691,-0.745836,0.200000,0.500000
36,1,6.108796,4.035771,-0.305712,-0.994446,0.200000,0.500000
37,1,8.534781,3.370466,-0.568787,-0.417325,0.200000,0.500000
38,1,8.970241,4.592086,-0.263665,-0.496570,0.200000,0.500000
39,1,6.796231,8.615716,0.278717,-0.881100,0.200000,0.500000
0,0,9.492651,0.370367,-0.898292,0.506668,0.200000,0.600000
1,0,11.985296,0.609366,-1.575601,-0.059121,0.200000,0.600000
2,0,7.038401,0.113196,-0.836045,0.557767,0.200000,0.600000
