id,gid,x,y,v_x,v_y,radius,time
6,6,0.163365,-4.680063,0.100179,1.628087,0.500000,2.200000
7,7,3.924565,-4.191688,-0.673065,0.615869,0.500000,2.200000
0,0,4.925203,0.032953,-1.526735,0.175440,0.500000,2.300000
1,1,3.732000,4.032789,-0.493605,-0.581560,0.500000,2.300000
2,2,0.153508,4.569725,-0.103129,-1.013641,0.500000,2.300000
3,3,-3.382420,3.484958,1.086350,-0.893131,0.500000,2.300000
4,4,-5.774156,-0.102546,0.725875,0.024325,0.500000,2.300000
5,5,-3.573643,-3.656050,0.784560,1.000389,0.500000,2.300000
6,6,0.184616,-4.516161,0.212506,1.639015,0.500000,2.300000
7,7,3.859911,-4.124545,-0.646539,0.671424,0.500000,2.300000
0,0,4.799292,0.030532,-1.259109,-0.024212,0.500000,2.400000
1,1,3.671080,3.924268,-0.609193,-1.085211,0.500000,2.400000
2,2,0.137320,4.495022,-0.161884,-0.747034,0.500000,2.400000
3,3,-3.299559,3.384724,0.828608,-1.002342,0.500000,2.400000
4,4,-5.682358,-0.123038,0.917985,-0.204919,0.500000,2.400000
5,5,-3.469697,-3.550385,1.039458,1.056646,0.500000,2.400000
6,6,0.198996,-4.373140,0.143802,1.430214,0.500000,2.400000
7,7,3.762339,-4.042173,-0.975718,0.823725,0.500000,2.400000
0,0,4.623330,0.065136,-1.759617,0.346043,0.500000,2.500000
1,1,3.597777,3.832805,-0.733031,-0.914623,0.500000,2.500000
2,2,0.114842,4.401702,-0.224776,-0.933200,0.500000,2.500000
3,3,-3.174595,3.255196,1.249641,-1.295283,0.500000,2.500000
4,4,-5.618287,-0.152718,0.640702,-0.296803,0.500000,2.500000
5,5,-3.401971,-3.470533,0.677263,0.798518,0.500000,2.500000
6,6,0.236348,-4.216112,0.373517,1.570282,0.500000,2.500000
7,7,3.672784,-3.959257,-0.895548,0.829154,0.500000,2.500000
0,0,4.472317,0.081437,-1.510133,0.163011,0.500000,2.600000
1,1,3.539620,3.719619,-0.581569,-1.131867,0.500000,2.600000
2,2,0.094429,4.301783,-0.204133,-0.999191,0.500000,2.600000
3,3,-3.063923,3.155833,1.106718,-0.993626,0.500000,2.600000
4,4,-5.536817,-0.157893,0.814708,-0.051751,0.500000,2.600000
5,5,-3.337372,-3.394671,0.645995,0.758629,0.500000,2.600000
6,6,0.240135,-4.073704,0.037875,1.424075,0.500000,2.600000
